Macro_Sector,Alpha_mean,Alpha_std,Beta_MktRF_mean,Beta_MktRF_std,Beta_SMB_mean,Beta_SMB_std,Beta_HML_mean,Beta_HML_std,N_Companies,R_squared_mean,Adj_R_squared_mean
Consumer,-0.00236186384280809,0.00784852057659693,1.1165704097287947,0.3399293839905965,0.14044498242255704,0.5400802477291113,0.06988449868574376,0.3800694861775107,20,0.450603044919875,0.4256304560525967
Energy & Utilities,-0.0016758078673210462,0.003336022213851821,0.7437728838395375,0.3507552399938636,-0.27729476701855343,0.27530102068568113,0.4561032278670571,0.45388195402678716,14,0.344706055248302,0.3149199668504976
Industrials,-0.0017361297109997264,0.007815059404528589,0.967582745506946,0.48962447301435424,0.06209152570441052,0.4659813414637008,0.23053969982519806,0.36524490679867644,36,0.4107496342512793,0.38396552671724654
