year,company,cik,form_type,date_filed,url,document_url
2022,3M CO,66740,10-K,2022-02-09,https://www.sec.gov/Archives/edgar/data/66740/0000066740-22-000010.txt,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/mmm-20211231.htm
2022,ABBOTT LABORATORIES,1800,10-K,2022-02-18,https://www.sec.gov/Archives/edgar/data/1800/0001104659-22-025141.txt,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm
2022,ADOBE INC.,796343,10-K,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/0000796343-22-000032.txt,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm
2022,ADVANCE AUTO PARTS INC,1158449,10-K,2022-02-15,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-22-000037.txt,https://www.sec.gov/Archives/edgar/data/1158449/000115844922000037/aap-20220101.htm
2022,ADVANCED MICRO DEVICES INC,2488,10-K,2022-02-03,https://www.sec.gov/Archives/edgar/data/2488/0000002488-22-000016.txt,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
2022,AES CORP,874761,10-K,2022-02-28,https://www.sec.gov/Archives/edgar/data/874761/0000874761-22-000022.txt,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/aes-20211231.htm
2022,AKAMAI TECHNOLOGIES INC,1086222,10-K,2022-02-28,https://www.sec.gov/Archives/edgar/data/1086222/0001086222-22-000058.txt,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/akam-20211231.htm
2022,"ALASKA AIR GROUP, INC.",766421,10-K,2022-02-11,https://www.sec.gov/Archives/edgar/data/766421/0000766421-22-000009.txt,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/alk-20211231.htm
2022,ALBEMARLE CORP,915913,10-K,2022-02-22,https://www.sec.gov/Archives/edgar/data/915913/0000915913-22-000027.txt,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/alb-20211231.htm
2022,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,10-K,2022-01-31,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-22-000040.txt,https://www.sec.gov/Archives/edgar/data/1035443/000103544322000040/are-20211231.htm
