year,company,cik,form_type,date_filed,url,document_url
2021,"Expedia Group, Inc.",1324424,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/1324424/0001324424-21-000015.txt,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000015/expe-20201231.htm
2021,Extra Space Storage Inc.,1289490,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1289490/0001628280-21-003458.txt,https://www.sec.gov/Archives/edgar/data/1289490/000162828021003458/exr-20201231.htm
2021,FASTENAL CO,815556,10-K,2021-02-08,https://www.sec.gov/Archives/edgar/data/815556/0000815556-21-000008.txt,https://www.sec.gov/Archives/edgar/data/815556/000081555621000008/fast-20201231.htm
2021,FEDERAL REALTY INVESTMENT TRUST,34903,10-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/34903/0000034903-21-000020.txt,https://www.sec.gov/Archives/edgar/data/34903/000003490321000020/frt-20201231.htm
2021,FIRSTENERGY CORP,1031296,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-21-000020.txt,https://www.sec.gov/Archives/edgar/data/1031296/000103129621000020/fe-20201231.htm
2021,FLEETCOR TECHNOLOGIES INC,1175454,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1175454/0001175454-21-000022.txt,https://www.sec.gov/Archives/edgar/data/1175454/000117545421000022/flt-20201231.htm
2021,FLOWSERVE CORP,30625,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/30625/0000030625-21-000034.txt,https://www.sec.gov/Archives/edgar/data/30625/000003062521000034/fls-20201231.htm
2021,FORD MOTOR CO,37996,10-K,2021-02-05,https://www.sec.gov/Archives/edgar/data/37996/0000037996-21-000012.txt,https://www.sec.gov/Archives/edgar/data/37996/000003799621000012/f-20201231.htm
2021,FREEPORT-MCMORAN INC,831259,10-K,2021-02-16,https://www.sec.gov/Archives/edgar/data/831259/0000831259-21-000009.txt,https://www.sec.gov/Archives/edgar/data/831259/000083125921000009/fcx-20201231.htm
2021,Facebook Inc,1326801,10-K,2021-01-28,https://www.sec.gov/Archives/edgar/data/1326801/0001326801-21-000014.txt,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm
2021,"Fortinet, Inc.",1262039,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/1262039/0001262039-21-000008.txt,https://www.sec.gov/Archives/edgar/data/1262039/000126203921000008/ftnt-20201231.htm
2021,Fortive Corp,1659166,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1659166/0001659166-21-000062.txt,https://www.sec.gov/Archives/edgar/data/1659166/000165916621000062/ftv-20201231.htm
2021,"Fortune Brands Home & Security, Inc.",1519751,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/1519751/0001564590-21-008129.txt,https://www.sec.gov/Archives/edgar/data/1519751/000156459021008129/fbhs-10k_20201231.htm
2021,GAP INC,39911,10-K,2021-03-16,https://www.sec.gov/Archives/edgar/data/39911/0000039911-21-000021.txt,https://www.sec.gov/Archives/edgar/data/39911/000003991121000021/gps-20210130.htm
