year,company,cik,form_type,date_filed,url,document_url
2023,3M CO,66740,10-K,2023-02-08,https://www.sec.gov/Archives/edgar/data/66740/0000066740-23-000014.txt,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm
2023,ABBOTT LABORATORIES,1800,10-K,2023-02-17,https://www.sec.gov/Archives/edgar/data/1800/0001628280-23-004026.txt,https://www.sec.gov/Archives/edgar/data/1800/000162828023004026/abt-20221231.htm
2023,ADOBE INC.,796343,10-K,2023-01-17,https://www.sec.gov/Archives/edgar/data/796343/0000796343-23-000007.txt,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm
2023,ADVANCE AUTO PARTS INC,1158449,10-K,2023-02-28,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-23-000035.txt,https://www.sec.gov/Archives/edgar/data/1158449/000115844923000035/aap-20221231.htm
2023,ADVANCED MICRO DEVICES INC,2488,10-K,2023-02-27,https://www.sec.gov/Archives/edgar/data/2488/0000002488-23-000047.txt,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
2023,AES CORP,874761,10-K,2023-03-01,https://www.sec.gov/Archives/edgar/data/874761/0000874761-23-000010.txt,https://www.sec.gov/Archives/edgar/data/874761/000087476123000010/aes-20221231.htm
2023,AKAMAI TECHNOLOGIES INC,1086222,10-K,2023-02-28,https://www.sec.gov/Archives/edgar/data/1086222/0001086222-23-000078.txt,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000078/akam-20221231.htm
2023,"ALASKA AIR GROUP, INC.",766421,10-K,2023-02-13,https://www.sec.gov/Archives/edgar/data/766421/0000766421-23-000009.txt,https://www.sec.gov/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm
2023,ALBEMARLE CORP,915913,10-K,2023-02-15,https://www.sec.gov/Archives/edgar/data/915913/0000915913-23-000039.txt,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm
2023,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,10-K,2023-01-30,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-23-000099.txt,https://www.sec.gov/Archives/edgar/data/1035443/000103544323000099/are-20221231.htm
2023,ALIGN TECHNOLOGY INC,1097149,10-K,2023-02-27,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-23-000013.txt,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm
2023,ALLIANT ENERGY CORP,352541,10-K,2023-02-24,https://www.sec.gov/Archives/edgar/data/352541/0000352541-23-000017.txt,https://www.sec.gov/Archives/edgar/data/352541/000035254123000017/lnt-20221231.htm
2023,"ALTRIA GROUP, INC.",764180,10-K,2023-02-27,https://www.sec.gov/Archives/edgar/data/764180/0000764180-23-000020.txt,https://www.sec.gov/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm
2023,AMAZON COM INC,1018724,10-K,2023-02-03,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-23-000004.txt,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
2023,AMEREN CORP,1002910,10-K,2023-02-22,https://www.sec.gov/Archives/edgar/data/1002910/0001002910-23-000053.txt,https://www.sec.gov/Archives/edgar/data/1002910/000100291023000053/aee-20221231.htm
2023,AMERICAN ELECTRIC POWER CO INC,4904,10-K,2023-02-23,https://www.sec.gov/Archives/edgar/data/4904/0000004904-23-000011.txt,https://www.sec.gov/Archives/edgar/data/4904/000000490423000011/aep-20221231.htm
2023,AMERICAN TOWER CORP /MA/,1053507,10-K,2023-02-23,https://www.sec.gov/Archives/edgar/data/1053507/0001053507-23-000023.txt,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000023/amt-20221231.htm
2023,AMETEK INC/,1037868,10-K,2023-02-21,https://www.sec.gov/Archives/edgar/data/1037868/0001037868-23-000012.txt,https://www.sec.gov/Archives/edgar/data/1037868/000103786823000012/ame-20221231.htm
2023,AMGEN INC,318154,10-K,2023-02-09,https://www.sec.gov/Archives/edgar/data/318154/0000318154-23-000017.txt,https://www.sec.gov/Archives/edgar/data/318154/000031815423000017/amgn-20221231.htm
2023,AMPHENOL CORP /DE/,820313,10-K,2023-02-08,https://www.sec.gov/Archives/edgar/data/820313/0001558370-23-001036.txt,https://www.sec.gov/Archives/edgar/data/820313/000155837023001036/aph-20221231x10k.htm
2023,ANSYS INC,1013462,10-K,2023-02-22,https://www.sec.gov/Archives/edgar/data/1013462/0001013462-23-000013.txt,https://www.sec.gov/Archives/edgar/data/1013462/000101346223000013/anss-20221231.htm
2023,APA Corp,1841666,10-K,2023-02-23,https://www.sec.gov/Archives/edgar/data/1841666/0001784031-23-000007.txt,https://www.sec.gov/Archives/edgar/data/1841666/000178403123000007/apa-20221231.htm
