year,company,cik,form_type,date_filed,url,document_url
2024,ACCO BRANDS Corp,712034,10-K,2024-02-23,https://www.sec.gov/Archives/edgar/data/712034/0000950170-24-019211.txt,https://www.sec.gov/Archives/edgar/data/712034/000095017024019211/acco-20231231.htm
2024,"ACELYRIN, Inc.",1962918,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1962918/0001962918-24-000032.txt,https://www.sec.gov/Archives/edgar/data/1962918/000196291824000032/slrn-20231231.htm
2024,"ACHIEVE LIFE SCIENCES, INC.",949858,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/949858/0000950170-24-038049.txt,https://www.sec.gov/Archives/edgar/data/949858/000095017024038049/achv-20231231.htm
2024,"ACI WORLDWIDE, INC.",935036,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/935036/0000935036-24-000007.txt,https://www.sec.gov/Archives/edgar/data/935036/000093503624000007/aciw-20231231.htm
2024,"ACM Research, Inc.",1680062,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1680062/0001680062-24-000008.txt,https://www.sec.gov/Archives/edgar/data/1680062/000168006224000008/acmr-20231231.htm
2024,ACME UNITED CORP,2098,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/2098/0000950170-24-027907.txt,https://www.sec.gov/Archives/edgar/data/2098/000095017024027907/acu-20231231.htm
2024,ACNB CORP,715579,10-K,2024-03-14,https://www.sec.gov/Archives/edgar/data/715579/0000715579-24-000028.txt,https://www.sec.gov/Archives/edgar/data/715579/000071557924000028/acnb-20231231.htm
2024,"ACORN ENERGY, INC.",880984,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/880984/0001493152-24-009150.txt,https://www.sec.gov/Archives/edgar/data/880984/000149315224009150/form10-k.htm
2024,ACRES Commercial Realty Corp.,1332551,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/1332551/0000950170-24-027462.txt,https://www.sec.gov/Archives/edgar/data/1332551/000095017024027462/acr-20231231.htm
2024,"ACTAVIA LIFE SCIENCES, INC.",1582249,10-K,2024-01-05,https://www.sec.gov/Archives/edgar/data/1582249/0001213900-24-001370.txt,https://www.sec.gov/Archives/edgar/data/1582249/000121390024001370/f10k2023_actavialife.htm
2024,ACTELIS NETWORKS INC,1141284,10-K,2024-03-26,https://www.sec.gov/Archives/edgar/data/1141284/0001213900-24-026069.txt,https://www.sec.gov/Archives/edgar/data/1141284/000121390024026069/ea0202031-10k_actelis.htm
2024,ACV Auctions Inc.,1637873,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/1637873/0000950170-24-018066.txt,https://www.sec.gov/Archives/edgar/data/1637873/000095017024018066/acva-20231231.htm
2024,"ADAMS RESOURCES & ENERGY, INC.",2178,10-K,2024-03-13,https://www.sec.gov/Archives/edgar/data/2178/0000002178-24-000035.txt,https://www.sec.gov/Archives/edgar/data/2178/000000217824000035/ae-20231231.htm
2024,ADC Therapeutics SA,1771910,10-K,2024-03-13,https://www.sec.gov/Archives/edgar/data/1771910/0001628280-24-010843.txt,https://www.sec.gov/Archives/edgar/data/1771910/000162828024010843/adc-20231231.htm
2024,"ADMA BIOLOGICS, INC.",1368514,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1368514/0001140361-24-010147.txt,https://www.sec.gov/Archives/edgar/data/1368514/000114036124010147/ef20015264_10k.htm
2024,ADOBE INC.,796343,10-K,2024-01-17,https://www.sec.gov/Archives/edgar/data/796343/0000796343-24-000006.txt,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm
2024,ADT Inc.,1703056,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1703056/0001703056-24-000020.txt,https://www.sec.gov/Archives/edgar/data/1703056/000170305624000020/adt-20231231.htm
2024,"ADTRAN Holdings, Inc.",926282,10-K,2024-03-15,https://www.sec.gov/Archives/edgar/data/926282/0000950170-24-032089.txt,https://www.sec.gov/Archives/edgar/data/926282/000095017024032089/adtn-20231231.htm
2024,"ADTRAN Holdings, Inc. NT",926282,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/926282/0000950170-24-023141.txt,https://www.sec.gov/Archives/edgar/data/926282/000095017024032089/adtn-20231231.htm
2024,ADVANCE AUTO PARTS INC,1158449,10-K,2024-03-12,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-24-000048.txt,https://www.sec.gov/Archives/edgar/data/1158449/000115844924000048/aap-20231230.htm
2024,ADVANCE AUTO PARTS INC NT,1158449,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1158449/0001193125-24-049060.txt,https://www.sec.gov/Archives/edgar/data/1158449/000115844924000048/aap-20231230.htm
2024,ADVANCED ENERGY INDUSTRIES INC,927003,10-K,2024-02-20,https://www.sec.gov/Archives/edgar/data/927003/0000927003-24-000003.txt,https://www.sec.gov/Archives/edgar/data/927003/000092700324000003/aeis-20231231x10k.htm
2024,ADVANCED MICRO DEVICES INC,2488,10-K,2024-01-31,https://www.sec.gov/Archives/edgar/data/2488/0000002488-24-000012.txt,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
2024,AEI INCOME & GROWTH FUND 25 LLC,1185198,10-K,2024-03-25,https://www.sec.gov/Archives/edgar/data/1185198/0001185198-24-000003.txt,https://www.sec.gov/Archives/edgar/data/1185198/000118519824000003/aei25-20231231.htm
2024,AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,931755,10-K,2024-03-22,https://www.sec.gov/Archives/edgar/data/931755/0000931755-24-000003.txt,https://www.sec.gov/Archives/edgar/data/931755/000093175524000003/aei21-20231231.htm
2024,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,1023458,10-K,2024-03-22,https://www.sec.gov/Archives/edgar/data/1023458/0001023458-24-000003.txt,https://www.sec.gov/Archives/edgar/data/1023458/000102345824000003/aei22-20231231.htm
2024,"AEMETIS, INC",738214,10-K,2024-03-29,https://www.sec.gov/Archives/edgar/data/738214/0001437749-24-010002.txt,https://www.sec.gov/Archives/edgar/data/738214/000143774924010002/amtx20231231_10k.htm
2024,"AEMETIS, INC NT",738214,10-K,2024-03-15,https://www.sec.gov/Archives/edgar/data/738214/0001437749-24-008129.txt,https://www.sec.gov/Archives/edgar/data/738214/000143774924010002/amtx20231231_10k.htm
2024,"AEON Biopharma, Inc.",1837607,10-K,2024-03-29,https://www.sec.gov/Archives/edgar/data/1837607/0001837607-24-000015.txt,https://www.sec.gov/Archives/edgar/data/1837607/000183760724000015/aeon-20231231x10k.htm
2024,AEP Texas Central Transition Funding III LLC,1539816,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1539816/0001539816-24-000003.txt,https://www.sec.gov/Archives/edgar/data/1539816/000153981624000003/aep-20231231.htm
2024,AEP Texas Inc.,1721781,10-K,2024-02-26,https://www.sec.gov/Archives/edgar/data/1721781/0000004904-24-000020.txt,https://www.sec.gov/Archives/edgar/data/1721781/000000490424000020/aep-20231231.htm
2024,AEP Texas Restoration Funding LLC,1775098,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1775098/0001775098-24-000005.txt,https://www.sec.gov/Archives/edgar/data/1775098/000177509824000005/aep-20231231.htm
2024,"AEP Transmission Company, LLC",1702494,10-K,2024-02-26,https://www.sec.gov/Archives/edgar/data/1702494/0000004904-24-000020.txt,https://www.sec.gov/Archives/edgar/data/1702494/000000490424000020/aep-20231231.htm
2024,AES CORP,874761,10-K,2024-02-26,https://www.sec.gov/Archives/edgar/data/874761/0000874761-24-000011.txt,https://www.sec.gov/Archives/edgar/data/874761/000087476124000011/aes-20231231.htm
2024,"AEye, Inc.",1818644,10-K,2024-03-27,https://www.sec.gov/Archives/edgar/data/1818644/0001818644-24-000003.txt,https://www.sec.gov/Archives/edgar/data/1818644/000181864424000003/lidr-20231231.htm
2024,"AFC Gamma, Inc.",1822523,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/1822523/0001822523-24-000014.txt,https://www.sec.gov/Archives/edgar/data/1822523/000182252324000014/afcg-20231231.htm
2024,"AFFILIATED MANAGERS GROUP, INC.",1004434,10-K,2024-02-16,https://www.sec.gov/Archives/edgar/data/1004434/0001004434-24-000010.txt,https://www.sec.gov/Archives/edgar/data/1004434/000100443424000010/amg-20231231.htm
2024,AFLAC INC,4977,10-K,2024-02-22,https://www.sec.gov/Archives/edgar/data/4977/0000004977-24-000053.txt,https://www.sec.gov/Archives/edgar/data/4977/000000497724000053/afl-20231231.htm
2024,"AG Mortgage Investment Trust, Inc.",1514281,10-K,2024-03-11,https://www.sec.gov/Archives/edgar/data/1514281/0001514281-24-000033.txt,https://www.sec.gov/Archives/edgar/data/1514281/000151428124000033/mitt-20231231.htm
2024,AG Twin Brook Capital Income Fund,1913724,10-K,2024-03-21,https://www.sec.gov/Archives/edgar/data/1913724/0001913724-24-000009.txt,https://www.sec.gov/Archives/edgar/data/1913724/000191372424000009/agci-20231231.htm
2024,AGBA Group Holding Ltd.,1769624,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1769624/0001213900-24-027225.txt,https://www.sec.gov/Archives/edgar/data/1769624/000121390024027225/ea0202484-10k_agba.htm
2024,AGCO CORP /DE,880266,10-K,2024-02-27,https://www.sec.gov/Archives/edgar/data/880266/0000880266-24-000013.txt,https://www.sec.gov/Archives/edgar/data/880266/000088026624000013/agco-20231231.htm
2024,AGENUS INC,1098972,10-K,2024-03-14,https://www.sec.gov/Archives/edgar/data/1098972/0000950170-24-031620.txt,https://www.sec.gov/Archives/edgar/data/1098972/000095017024031620/agen-20231231.htm
2024,AGILE THERAPEUTICS INC,1261249,10-K,2024-03-28,https://www.sec.gov/Archives/edgar/data/1261249/0001558370-24-004262.txt,https://www.sec.gov/Archives/edgar/data/1261249/000155837024004262/agrx-20231231x10k.htm
2024,"AGILITI, INC. \DE",1749704,10-K,2024-03-06,https://www.sec.gov/Archives/edgar/data/1749704/0001749704-24-000016.txt,https://www.sec.gov/Archives/edgar/data/1749704/000174970424000016/agti-20231231.htm
2024,"AGIOS PHARMACEUTICALS, INC.",1439222,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/1439222/0001439222-24-000035.txt,https://www.sec.gov/Archives/edgar/data/1439222/000143922224000035/agio-20231231.htm
2024,AGNC Investment Corp.,1423689,10-K,2024-02-22,https://www.sec.gov/Archives/edgar/data/1423689/0001423689-24-000005.txt,https://www.sec.gov/Archives/edgar/data/1423689/000142368924000005/agnc-20231231.htm
2024,AGREE REALTY CORP,917251,10-K,2024-02-13,https://www.sec.gov/Archives/edgar/data/917251/0001558370-24-001056.txt,https://www.sec.gov/Archives/edgar/data/917251/000155837024001056/adc-20231231x10k.htm
2024,AIB Acquisition Corp,1882963,10-K,2024-03-21,https://www.sec.gov/Archives/edgar/data/1882963/0001213900-24-024800.txt,https://www.sec.gov/Archives/edgar/data/1882963/000121390024024800/ea0201396-10k_aibacq.htm
2024,AIR LEASE CORP,1487712,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/1487712/0001628280-24-005037.txt,https://www.sec.gov/Archives/edgar/data/1487712/000162828024005037/al-20231231.htm
2024,AIRGAIN INC,1272842,10-K,2024-03-06,https://www.sec.gov/Archives/edgar/data/1272842/0000950170-24-027341.txt,https://www.sec.gov/Archives/edgar/data/1272842/000095017024027341/airg-20231231.htm
2024,AKAMAI TECHNOLOGIES INC,1086222,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1086222/0001086222-24-000040.txt,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000040/akam-20231231.htm
2024,ALABAMA POWER CO,3153,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/3153/0000092122-24-000009.txt,https://www.sec.gov/Archives/edgar/data/3153/000009212224000009/so-20231231.htm
2024,ALAMO GROUP INC,897077,10-K,2024-02-22,https://www.sec.gov/Archives/edgar/data/897077/0000897077-24-000009.txt,https://www.sec.gov/Archives/edgar/data/897077/000089707724000009/alg-20231231.htm
2024,"ALASKA AIR GROUP, INC.",766421,10-K,2024-02-14,https://www.sec.gov/Archives/edgar/data/766421/0000766421-24-000012.txt,https://www.sec.gov/Archives/edgar/data/766421/000076642124000012/alk-20231231.htm
2024,ALBANY INTERNATIONAL CORP /DE/,819793,10-K,2024-02-26,https://www.sec.gov/Archives/edgar/data/819793/0000819793-24-000012.txt,https://www.sec.gov/Archives/edgar/data/819793/000081979324000012/ain-20231231.htm
2024,ALBEMARLE CORP,915913,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/915913/0000915913-24-000016.txt,https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm
2024,ALERUS FINANCIAL CORP,903419,10-K,2024-03-08,https://www.sec.gov/Archives/edgar/data/903419/0001558370-24-002829.txt,https://www.sec.gov/Archives/edgar/data/903419/000155837024002829/alrs-20231231x10k.htm
2024,ALEXANDERS INC,3499,10-K,2024-02-12,https://www.sec.gov/Archives/edgar/data/3499/0000003499-24-000007.txt,https://www.sec.gov/Archives/edgar/data/3499/000000349924000007/alx-20231231.htm
2024,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,10-K,2024-01-29,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-24-000072.txt,https://www.sec.gov/Archives/edgar/data/1035443/000103544324000072/are-20231231.htm
2024,ALIGN TECHNOLOGY INC,1097149,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1097149/0001097149-24-000011.txt,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000011/algn-20231231.htm
2024,ALIMERA SCIENCES INC,1267602,10-K,2024-03-08,https://www.sec.gov/Archives/edgar/data/1267602/0001267602-24-000019.txt,https://www.sec.gov/Archives/edgar/data/1267602/000126760224000019/alim-20231231x10k.htm
2024,"ALKAMI TECHNOLOGY, INC.",1529274,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/1529274/0001529274-24-000029.txt,https://www.sec.gov/Archives/edgar/data/1529274/000152927424000029/alk-20231231.htm
