Year,company,Item_1,Item_1A,Item_7,Item_8
2021,"ALASKA AIR GROUP, INC.",,,,✓
2021,American Airlines Group Inc.,,,,✓
2021,CHURCH & DWIGHT CO INC /DE/,✓,,✓,✓
2021,COMCAST CORP,,,,✓
2021,CORNING INC /NY,,,✓,
2021,DTE ENERGY CO,✓,,,
2021,EDISON INTERNATIONAL,✓,✓,✓,✓
2021,ELI LILLY & Co,,,✓,
2021,"Expedia Group, Inc.",,,,✓
2021,HONEYWELL INTERNATIONAL INC,✓,,,
2021,JOHNSON & JOHNSON,,,✓,
2021,LAS VEGAS SANDS CORP,✓,✓,,✓
2021,"Lumen Technologies, Inc.",,,,✓
2021,MID AMERICA APARTMENT COMMUNITIES INC.,✓,✓,✓,
2021,MOHAWK INDUSTRIES INC,,,,✓
2021,"Match Group, Inc.",,,,✓
2021,NEWMONT Corp /DE/,,,✓,
2021,"NRG ENERGY, INC.",✓,✓,,✓
2021,PERKINELMER INC,,,,✓
2021,PULTEGROUP INC/MI/,✓,,,
2021,REGENCY CENTERS CORP,✓,✓,✓,✓
2021,"SALESFORCE.COM, INC.",,,,✓
2021,"ServiceNow, Inc.",,,,✓
2021,TRACTOR SUPPLY CO /DE/,✓,✓,,✓
2021,Trane Technologies plc,,,,✓
2021,"Verisk Analytics, Inc.",,,,✓
2021,ViacomCBS Inc.,,,✓,
2021,WATERS CORP /DE/,,,✓,
2021,WEYERHAEUSER CO,✓,,,
2021,XCEL ENERGY INC,✓,✓,,✓
2021,CARMAX INC,,,,✓
2021,DXC Technology Co,,,✓,
2021,GENERAL MILLS INC,,,✓,
2021,CARDINAL HEALTH INC,✓,✓,✓,✓
2021,FEDEX CORP,,,✓,
2021,RESMED INC,,,,✓
2021,EMERSON ELECTRIC CO,✓,✓,,✓
