Year,company,Item_1,Item_1A,Item_7,Item_8
2022,"ALASKA AIR GROUP, INC.",,,,✓
2022,American Airlines Group Inc.,,,,✓
2022,CHURCH & DWIGHT CO INC /DE/,✓,✓,✓,✓
2022,COMCAST CORP,,,,✓
2022,"DOMINION ENERGY, INC",✓,✓,✓,✓
2022,DTE ENERGY CO,✓,,,
2022,EDISON INTERNATIONAL,✓,✓,✓,✓
2022,ELI LILLY & Co,,,✓,
2022,"Expedia Group, Inc.",,,,✓
2022,HONEYWELL INTERNATIONAL INC,✓,,,
2022,JOHNSON & JOHNSON,,,✓,
2022,LAS VEGAS SANDS CORP,✓,✓,,✓
2022,"Lumen Technologies, Inc.",,,,✓
2022,MID AMERICA APARTMENT COMMUNITIES INC.,✓,✓,✓,
2022,MOHAWK INDUSTRIES INC,,,,✓
2022,"MOLINA HEALTHCARE, INC.",✓,✓,✓,✓
2022,MONOLITHIC POWER SYSTEMS INC,,,✓,
2022,"MasterBrand, Inc.",✓,,,
2022,"Match Group, Inc.",,,,✓
2022,NEWMONT Corp /DE/,,,✓,
2022,"NRG ENERGY, INC.",✓,✓,,✓
2022,PERKINELMER INC,,,,✓
2022,PULTEGROUP INC/MI/,✓,,,
2022,Paramount Global,,,✓,
2022,REGENCY CENTERS CORP,✓,✓,✓,✓
2022,STEEL DYNAMICS INC,,,,✓
2022,"Salesforce, Inc.",,,,✓
2022,"ServiceNow, Inc.",,,,✓
2022,TRACTOR SUPPLY CO /DE/,✓,✓,,✓
2022,Trane Technologies plc,,,,✓
2022,"Verisk Analytics, Inc.",,,,✓
2022,WATERS CORP /DE/,,,✓,
2022,WEYERHAEUSER CO,✓,,,
2022,XCEL ENERGY INC,✓,✓,,✓
2022,CARMAX INC,,,,✓
2022,DXC Technology Co,,,✓,
2022,GENERAL MILLS INC,,,✓,
2022,CARDINAL HEALTH INC,✓,✓,✓,✓
2022,FEDEX CORP,,,✓,
2022,RESMED INC,,,,✓
2022,EMERSON ELECTRIC CO,✓,✓,,✓
