Year,company,Item_1,Item_1A,Item_7,Item_8
2019,3M CO,✓,,✓,✓
2019,"ALASKA AIR GROUP, INC.",✓,,,✓
2019,ALIGN TECHNOLOGY INC,,,,✓
2019,ALLIANCE DATA SYSTEMS CORP,,,✓,
2019,American Airlines Group Inc.,,,,✓
2019,Arconic Rolled Products Corp,✓,,,
2019,"CENTURYLINK, INC",,,,✓
2019,CHURCH & DWIGHT CO INC /DE/,✓,✓,✓,✓
2019,COMCAST CORP,,,,✓
2019,CONOCOPHILLIPS,,,✓,✓
2019,Ceridian HCM Holding Inc.,✓,✓,✓,✓
2019,DTE ENERGY CO,✓,,,
2019,EDISON INTERNATIONAL,✓,✓,✓,✓
2019,ELI LILLY & Co,,,✓,
2019,ENTERGY CORP /DE/,✓,✓,,
2019,"Expedia Group, Inc.",,,,✓
2019,"FOOT LOCKER, INC.",,,,✓
2019,HALLIBURTON CO,,✓,,
2019,"HARLEY-DAVIDSON, INC.",,,,✓
2019,JOHNSON & JOHNSON,,,✓,
2019,LAS VEGAS SANDS CORP,✓,✓,,✓
2019,LINCOLN NATIONAL CORP,,,✓,✓
2019,MOHAWK INDUSTRIES INC,,,,✓
2019,NEWMONT Corp /DE/,,,✓,
2019,"NRG ENERGY, INC.",✓,✓,,✓
2019,PERKINELMER INC,,,,✓
2019,PULTEGROUP INC/MI/,✓,,,
2019,Public Storage,,,,✓
2019,REGENCY CENTERS CORP,,,,✓
2019,ROLLINS INC,,,✓,✓
2019,"SALESFORCE.COM, INC.",,,,✓
2019,"ServiceNow, Inc.",,,,✓
2019,TRACTOR SUPPLY CO /DE/,✓,✓,,✓
2019,"Verisk Analytics, Inc.",,,,✓
2019,ViacomCBS Inc.,,,✓,
2019,WEYERHAEUSER CO,✓,,,
2019,XCEL ENERGY INC,✓,✓,,✓
2019,CARMAX INC,,,,✓
2019,Upjohn Inc,✓,✓,✓,✓
2019,CARDINAL HEALTH INC,✓,✓,✓,✓
2019,FEDEX CORP,,,✓,
2019,RESMED INC,,,,✓
2019,EMERSON ELECTRIC CO,✓,✓,,✓
