year,company,cik,Item_1_ESG_Exposure,Item_1_ESG_Sentiment,Item_1A_ESG_Exposure,Item_1A_ESG_Sentiment,Item_7_ESG_Exposure,Item_7_ESG_Sentiment,Item_8_ESG_Exposure,Item_8_ESG_Sentiment,Overall_ESG_Exposure,Overall_ESG_Sentiment
2022,ABBOTT LABORATORIES,1800,0.053691275167785234,0.29371771216392517,0.025,0.9483488649129868,0.013793103448275862,0.5866939624150594,0.01569506726457399,0.3305863301668848,0.027044861470158773,0.5398367174147141
2022,ADOBE INC.,796343,0.0049504950495049506,0.01823604106903076,0.044585987261146494,0.7858632121767316,0.0,0.0,0.003527336860670194,0.4873586483299732,0.013265954792830409,0.3228644753939339
2022,ADVANCE AUTO PARTS INC,1158449,0.1919191919191919,0.40446363977695765,0.07253886010362694,0.657415932310479,0.04081632653061224,0.5489887124858797,0.0,0.0,0.07631859463835777,0.4027170711433291
2022,AES CORP,874761,0.4694063926940639,-0.06428415875461546,0.32107843137254904,0.49891410244785195,0.1799709724238026,0.09521605290712849,0.14078374455732948,0.07172500136663619,0.27780988526193623,0.1503927494917503
2022,AKAMAI TECHNOLOGIES INC,1086222,0.008,0.05895569175481796,0.03361344537815126,0.5520496641596159,0.012195121951219513,0.16833775192499162,0.0029585798816568047,-0.2653014212846756,0.014191786802756894,0.12851042163868748
2022,ALBEMARLE CORP,915913,0.265,0.027331880030204665,0.20232558139534884,0.5679040126202778,0.1267605633802817,-0.018176152842280306,0.05016357688113413,0.23714943529795046,0.16106243041419116,0.20355229377653816
2022,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,0.14393939393939395,0.5292864167376569,0.13179723502304147,0.48566327035635504,0.12998859749144812,0.1253685609584576,0.0,0.0,0.10143130661347088,0.2850795620131174
2022,AMERICAN ELECTRIC POWER CO INC,4904,0.3926470588235294,0.006525606307644076,0.3212121212121212,0.5325283810215177,0.0,0.0,0.1436062246278755,0.1934881514273979,0.21436635116588154,0.1831355346891399
2022,AMPHENOL CORP /DE/,820313,0.09777777777777778,0.13093268058516763,0.1,0.7966649922586623,0.014184397163120567,0.11008899658918381,0.015135135135135135,0.4344381304191692,0.05677432751900837,0.36803119996304573
2022,AT&T INC.,732717,0.005050505050505051,0.06910431385040283,0.08333333333333333,0.9154148232191801,0.03359683794466403,0.17375722746638692,0.011857707509881422,0.11658348391453426,0.03345959595959596,0.31871496211262607
2022,AVALONBAY COMMUNITIES INC,915912,0.05952380952380952,0.18139305859804153,0.0915032679738562,0.7652523159714681,0.02203856749311295,0.17239405075088143,0.0,0.0,0.04326641124769467,0.2797598563300978
2022,AbbVie Inc.,1551152,0.025714285714285714,0.3247887012031343,0.010752688172043012,0.9572528402010599,0.012539184952978056,0.8284496068954468,0.00141643059490085,0.1517867147922516,0.012605647358551908,0.5655694657729732
2022,"Activision Blizzard, Inc.",718877,0.024193548387096774,-0.09712285082787275,0.031180400890868598,0.8290754918541227,0.017605633802816902,0.4337367057800293,0.0,0.0,0.018244895770195568,0.2914223367015698
2022,Aptiv PLC,1521332,0.1685823754789272,-0.29021391458809376,0.09749303621169916,0.6377877864454474,0.04696969696969697,0.001461615365359091,0.024120603015075376,0.24381293434028825,0.08429142791884967,0.14821210539075025
2022,"Arista Networks, Inc.",1596532,0.0035842293906810036,-0.2185850888490677,0.01721664275466284,0.6789130220810572,0.0,0.0,0.002061855670103093,0.03973058611154556,0.005715681953861734,0.12501462983588377
2022,BEST BUY CO INC,764478,0.16037735849056603,-0.3162198766846867,0.0796812749003984,0.7151646784506738,0.007692307692307693,-0.02161949872970581,0.004016064257028112,0.3101373091340065,0.06294175133507507,0.17186565304257195
2022,BIOGEN INC.,875045,0.0,0.0,0.0015408320493066256,0.46024078130722046,0.0013908205841446453,0.46024078130722046,0.0,0.0,0.0007329131583628177,0.23012039065361023
2022,BOEING CO,12927,0.11764705882352941,0.29856619797647,0.07782101167315175,0.7559539269655943,0.008756567425569177,0.6525961995124817,0.016355140186915886,0.5923903792032174,0.05514494452729156,0.5748766759144408
2022,BOSTON PROPERTIES INC,1037540,0.009749303621169917,-0.1783591029899461,0.08838383838383838,0.8179712519049644,0.0,0.0,0.03052064631956912,0.688365148161264,0.03216344708114435,0.3319943242690706
2022,BOSTON SCIENTIFIC CORP,885725,0.0405727923627685,-0.12751267510740197,0.04057971014492753,0.7386511415243149,0.037894736842105266,-0.065930994020568,0.006718924972004479,0.26822041627019644,0.03144154108045145,0.20335697216663534
2022,BRISTOL MYERS SQUIBB CO,14272,0.025225225225225224,0.48133864120713304,0.02109704641350211,0.8618244171142578,0.005607476635514018,0.24278534079591432,0.010297482837528604,0.37123046815395355,0.015556807777942489,0.4892947168178147
2022,"Bath & Body Works, Inc.",701985,0.009302325581395349,-0.12392480671405792,0.0687960687960688,0.7270386334109519,0.0,0.0,0.012474012474012475,0.1434247593084971,0.022643101712869155,0.18663464650134776
2022,Booking Holdings Inc.,1075531,0.01694915254237288,-0.12547940015792847,0.022375215146299483,0.6259352649347141,0.0,0.0,0.0,0.0,0.009831091922168092,0.1251139661941964
2022,CADENCE DESIGN SYSTEMS INC,813672,0.04710144927536232,-0.1773203190129537,0.026881720430107527,0.8837539911270141,0.007168458781362007,0.01887349784374237,0.0,0.0,0.020287907121707964,0.18132679248945072
2022,"CF Industries Holdings, Inc.",1324404,0.49416342412451364,-0.046194962218521145,0.4275,0.404891409099712,0.33703190013869627,0.23903119665237121,0.12424607961399277,0.394986616429484,0.3457353509693007,0.24817856499076152
