Company;;ISIN;SIC Industry Name;SIC Industry Code;Update Date;ESG Score;;;;;;;;;;;;
Air Products and Chemicals, Inc.;APD;NULL;NULL;NULL;31/12/2019;79,47721609;;;;;;;;;;;;
Air Products and Chemicals, Inc.;APD;NULL;NULL;NULL;31/12/2018;85,41778666;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;US0090661010;NULL;5169;31/12/2023;33,00677943;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;NULL;NULL;NULL;31/12/2022;38,04415588;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;NULL;NULL;NULL;31/12/2021;30,74028823;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;NULL;NULL;NULL;31/12/2020;25,87371548;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;NULL;NULL;NULL;31/12/2019;NULL;;;;;;;;;;;;
Airbnb, Inc.;ABNB.O;NULL;NULL;NULL;31/12/2018;NULL;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;US00971T1016;Business Services, Not Elsewhere Classified;7389;31/12/2023;66,46224832;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;NULL;NULL;NULL;31/12/2022;67,25300398;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;NULL;NULL;NULL;31/12/2021;70,74638275;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;NULL;NULL;NULL;31/12/2020;69,00724072;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;NULL;NULL;NULL;31/12/2019;57,90700029;;;;;;;;;;;;
Akamai Technologies, Inc.;AKAM.O;NULL;NULL;NULL;31/12/2018;52,73048032;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;US0116591092;Air Transportation, Scheduled;4512;31/12/2023;60,11149365;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;NULL;NULL;NULL;31/12/2022;56,36391658;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;NULL;NULL;NULL;31/12/2021;54,07937838;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;NULL;NULL;NULL;31/12/2020;49,05337633;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;NULL;NULL;NULL;31/12/2019;54,77744706;;;;;;;;;;;;
Alaska Air Group, Inc.;ALK;NULL;NULL;NULL;31/12/2018;56,44766697;;;;;;;;;;;;
Albemarle Corporation;ALB;US0126531013;Plastics Materials, Synthetic Resins, and Nonvulcanizable Easton;2821;31/12/2023;70,05731266;;;;;;;;;;;;
Albemarle Corporation;ALB;NULL;NULL;NULL;31/12/2022;71,96490422;;;;;;;;;;;;
Albemarle Corporation;ALB;NULL;NULL;NULL;31/12/2021;67,56779768;;;;;;;;;;;;
Albemarle Corporation;ALB;NULL;NULL;NULL;31/12/2020;69,58347076;;;;;;;;;;;;
Albemarle Corporation;ALB;NULL;NULL;NULL;31/12/2019;65,62456569;;;;;;;;;;;;
